CreatedDateYear,CreatedDateMonth,CreatedDateDay,requests
2013,05,21,5356
2018,06,29,7128
2019,03,22,6706
2014,11,08,5304
2016,09,19,5485
2015,10,27,7015
2014,03,26,5933
2018,09,10,6822
2017,04,08,5177
2013,04,14,3091
2013,09,09,4964
2018,03,13,6975
2011,10,30,5045
2014,08,09,4282
2016,06,12,5207
2014,08,02,4089
2016,09,13,6633
2010,03,07,3228
2012,01,01,2359
2015,04,10,5757
2012,02,11,3328
2010,05,01,3197
2015,11,19,6028
2018,06,02,6372
2014,03,31,6052
2012,09,03,2983
2016,02,06,4739
2015,01,17,5019
2016,11,12,5781
2013,07,20,2938
2019,01,31,11023
2016,04,04,6618
2015,10,18,7167
2017,11,14,8306
2011,01,11,6231
2012,10,02,4834
2016,01,08,6114
2014,06,21,4977
2017,02,24,6379
2013,08,31,3055
2015,06,06,5336
2016,10,24,7494
2013,08,22,4820
2014,07,03,6110
2011,02,20,3609
2014,12,16,5845
2017,08,17,6877
2012,02,10,4836
2012,02,22,4919
2018,01,28,5091
2017,01,13,6449
2014,09,28,3823
2014,12,28,3602
2013,04,27,3750
2015,02,21,6200
2010,10,14,6257
2014,01,31,5686
2017,05,16,7148
2014,09,12,5193
2016,07,16,5308
2011,09,21,5949
2012,03,16,4676
2015,02,27,6545
2015,08,07,6099
2016,04,03,6044
2011,09,08,7037
2011,06,11,2849
2010,09,15,5785
2014,12,20,4448
2015,05,19,6454
2010,06,22,6205
2016,02,23,6614
2016,01,10,4735
2010,12,07,8242
2012,03,24,2922
2014,03,28,5080
2016,05,06,6450
2012,06,18,5789
2012,04,25,5370
2015,10,19,9373
2011,10,23,3536
2016,01,20,7421
2011,04,28,4984
2017,05,17,7494
2015,01,26,5821
2015,05,16,4428
2013,02,09,3623
2018,11,02,6785
2017,11,26,5183
2015,01,19,4774
2011,06,22,5473
2013,12,14,4274
2012,04,06,3922
2015,06,21,4937
2010,11,19,6274
2012,03,26,6014
2017,07,04,5294
2017,02,14,6513
2016,03,27,4522
2011,03,25,4759
2018,08,21,7681
2010,03,17,6856
2012,09,27,5224
d Da,Cr,at,1
2018,03,04,6008
2012,06,10,2607
2019,01,09,7527
2012,01,27,5167
2015,11,27,4381
2013,01,19,3671
2015,01,23,6107
2013,07,28,3013
2015,03,21,4865
2018,07,28,6279
2017,01,08,6530
2012,10,06,3116
2019,02,02,6973
2010,02,27,4450
2013,08,28,4983
2010,02,24,7168
2012,08,01,5137
2013,02,22,5843
2018,06,18,8230
2015,02,11,6201
2010,09,24,5778
2010,10,18,6959
2017,02,18,5136
2016,02,04,6396
2018,08,04,5898
2010,08,15,2480
2011,05,04,4723
2016,03,22,6582
2019,04,14,4965
2012,12,02,3041
2012,11,22,2508
2013,07,14,3342
2018,04,03,7004
2019,01,06,5225
2018,12,15,5444
2011,06,19,2647
2012,07,30,5467
2017,12,22,5959
2013,11,23,2368
2015,09,23,6182
2011,03,29,4954
2019,02,04,7574
2018,01,30,7251
2013,05,19,3023
2017,05,24,6876
2012,03,20,5044
2012,04,28,3358
2017,11,06,7348
2012,12,12,5735
2015,06,03,6665
2012,10,07,2749
2012,01,19,6672
2018,08,29,7861
2014,08,06,5741
2016,03,10,6427
2017,07,06,7060
2016,06,08,6470
2013,08,27,4899
2012,01,03,7698
2015,05,18,6408
2010,01,15,5816
2010,07,18,2501
2012,02,06,5348
2015,04,03,5440
2018,05,25,7728
2010,01,05,8259
2013,10,21,5525
2013,05,16,5164
2011,10,26,6726
2011,06,09,4484
2010,09,09,5372
2010,11,02,7314
2013,05,12,3367
2016,05,10,6444
2013,03,18,6175
2012,11,23,3890
2015,05,11,6886
2013,10,14,3606
2015,04,07,6598
2016,11,03,6380
2010,10,16,4661
2010,06,09,4934
2016,11,20,6086
2016,09,03,5536
2014,04,04,5506
2010,02,06,3662
2012,12,06,6096
2018,11,17,6678
2018,05,28,5787
2018,06,26,8057
2018,03,08,7657
2010,05,09,3370
2010,12,20,6689
2012,01,12,5496
2014,05,06,5929
2017,04,13,6198
2010,04,29,5784
2015,12,16,6043
2017,11,29,7217
2011,05,18,4974
2013,06,09,3866
2014,01,03,6133
2011,06,20,5754
2015,01,22,6212
2018,09,14,8446
2010,06,03,5494
2010,11,15,6267
2019,01,14,9593
2018,06,24,6528
2018,12,28,6512
2013,05,11,3720
2013,08,20,5187
2017,08,22,6463
