USAF,WBAN,StationName,State,Latitude,Longitude,MeanTemp,MinTemp,MaxTemp,DewPoint,Percipitation,WindSpeed,MaxSustainedWind,Gust,Rain,SnowDepth,SnowIce,Year,Month,Day,Borough
997280,99999,KINGS POINT,NY,40.8,-73.77,44.0,42.4,46.0,,0.0,15.0,22.0,,0,,0,2010,11,8,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,46.2,42.8,52.3,,0.0,15.2,21.0,,0,,0,2010,11,9,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,57.2,49.5,60.4,,0.0,12.9,21.0,,0,,0,2010,12,1,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,26.6,21.6,32.0,,0.0,4.3,11.1,,0,,0,2010,12,10,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,37.2,31.8,46.0,,0.0,2.2,6.0,,0,,0,2010,12,11,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,46.6,36.9,56.3,,0.0,8.8,28.9,,0,,0,2010,12,12,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,44.5,35.2,50.0,,0.0,8.0,15.9,,0,,0,2010,12,13,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,23.5,20.1,33.4,,0.0,14.8,20.0,,0,,0,2010,12,14,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,23.7,21.4,27.0,,0.0,15.1,22.0,,0,,0,2010,12,15,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,27.6,25.7,30.4,,0.0,12.8,18.1,,0,,0,2010,12,16,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,29.3,25.7,36.0,,0.0,8.9,13.0,,0,,0,2010,12,17,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,32.9,30.2,35.4,,0.0,5.9,9.9,,0,,0,2010,12,18,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,33.0,30.0,36.5,,0.0,4.5,8.9,,0,,0,2010,12,19,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,40.2,36.0,47.3,,0.0,12.9,19.0,,0,,0,2010,12,2,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,31.5,28.0,36.9,,0.0,11.0,15.9,,0,,0,2010,12,20,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,33.0,29.5,38.5,,0.0,14.6,19.0,,0,,0,2010,12,21,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,33.3,29.8,38.8,,0.0,10.2,15.9,,0,,0,2010,12,22,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,33.3,32.4,34.9,,0.0,14.9,22.0,,0,,0,2010,12,23,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,33.1,30.2,39.2,,0.0,12.4,16.9,,0,,0,2010,12,24,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,29.8,26.2,35.4,,0.0,8.3,12.0,,0,,0,2010,12,25,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,28.3,25.5,30.9,,0.0,8.9,20.0,,0,,0,2010,12,26,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,25.1,22.5,29.1,,0.0,21.7,33.0,,0,,0,2010,12,27,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,30.2,25.3,37.0,,0.0,15.2,25.1,,0,,0,2010,12,28,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,34.6,32.9,37.8,,0.0,8.2,14.0,,0,,0,2010,12,29,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,37.7,35.6,39.7,,0.0,7.8,12.0,,0,,0,2010,12,3,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,33.2,27.0,39.4,,0.0,3.2,8.9,,0,,0,2010,12,30,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,38.2,34.0,44.4,,0.0,4.9,8.0,,0,,0,2010,12,31,BRONX
