CreatedDateYear,CreatedDateMonth,Borough,ComplaintType,requests
2011,04,MANHATTAN,Traffic Signal Condition,949
2011,04,BRONX,Traffic Signal Condition,471
2011,04,MANHATTAN,Noise - Residential,2331
2011,04,QUEENS,Street Light Condition,2776
2011,04,BRONX,Water System,377
2011,04,MANHATTAN,Blocked Driveway,126
2011,04,BRONX,Blocked Driveway,581
2011,04,BROOKLYN,Street Light Condition,2337
2011,04,QUEENS,Water System,1104
2011,04,STATEN ISLAND,Noise - Residential,179
2011,04,BROOKLYN,Street Condition,2784
2011,04,QUEENS,Traffic Signal Condition,1044
2011,04,STATEN ISLAND,Street Light Condition,575
2011,04,BROOKLYN,Water System,856
2011,04,BRONX,Street Condition,1427
2011,04,STATEN ISLAND,General Construction/Plumbing,170
2011,04,STATEN ISLAND,Traffic Signal Condition,135
2011,04,Unspecified,Traffic Signal Condition,94
2011,04,QUEENS,Street Condition,2850
2011,04,BROOKLYN,Blocked Driveway,1430
2011,04,Unspecified,Street Light Condition,78
2011,04,MANHATTAN,Water System,600
2011,04,BRONX,Noise - Residential,2552
2011,04,BRONX,General Construction/Plumbing,582
2011,04,QUEENS,General Construction/Plumbing,944
2011,04,BROOKLYN,Traffic Signal Condition,946
2011,04,QUEENS,Noise - Residential,1521
2011,04,MANHATTAN,General Construction/Plumbing,488
2011,04,STATEN ISLAND,Water System,459
2011,04,STATEN ISLAND,Blocked Driveway,120
2011,04,MANHATTAN,Street Light Condition,1198
2011,04,QUEENS,Blocked Driveway,1568
2011,04,MANHATTAN,Street Condition,2552
2011,04,BROOKLYN,Noise - Residential,2825
